date,sst,sst_anomaly,mhw_days,year,month,oni,enso_phase
2006-08-01,18.182646193548386,0.5534884483870968,9,2006,8,0.3,Neutral
2006-09-01,17.483727366666663,-0.3763871444444445,0,2006,9,0.54,El Niño
2006-10-01,17.32537135483871,-0.08027493870967735,0,2006,10,0.77,El Niño
2006-11-01,16.3799806,0.07957966722222197,0,2006,11,0.94,El Niño
2006-12-01,15.044412629032259,0.08324119247311841,0,2006,12,0.94,El Niño
2007-01-01,13.611349661290323,-0.5910380978494623,0,2007,1,0.66,El Niño
2007-02-01,13.605319214285714,-0.4059912708333333,0,2007,2,0.22,Neutral
2007-03-01,13.517143870967741,-0.5332803204301075,0,2007,3,-0.12,Neutral
2007-04-01,13.673762616666666,-0.5792708699999999,0,2007,4,-0.32,Neutral
2007-05-01,14.220099338709678,-0.5860966720430104,0,2007,5,-0.38,Neutral
2007-06-01,15.0946033,-0.4484116583333331,0,2007,6,-0.47,Neutral
2007-07-01,16.979917161290324,0.23175950645161314,0,2007,7,-0.56,La Niña
2007-08-01,17.727998967741932,0.09884122258064496,0,2007,8,-0.81,La Niña
2007-09-01,18.00697596666667,0.14686145555555613,0,2007,9,-1.07,La Niña
2007-10-01,17.049206838709676,-0.3564394548387095,0,2007,10,-1.34,La Niña
2007-11-01,16.120313200000002,-0.18008773277777795,0,2007,11,-1.5,La Niña
2007-12-01,14.161232,-0.7999394365591399,0,2007,12,-1.6,La Niña
2008-01-01,13.173104,-1.0292837591397848,0,2008,1,-1.64,La Niña
2008-02-01,12.94930632142857,-1.0620041636904765,0,2008,2,-1.52,La Niña
2008-03-01,13.07913329032258,-0.9712909010752687,0,2008,3,-1.29,La Niña
2008-04-01,13.20943065,-1.0436028366666668,0,2008,4,-1.01,La Niña
2008-05-01,13.879745016129032,-0.9264509946236559,0,2008,5,-0.84,La Niña
2008-06-01,14.88601415,-0.6570008083333331,0,2008,6,-0.61,La Niña
2008-07-01,16.64842335483871,-0.09973429999999982,0,2008,7,-0.37,Neutral
2008-08-01,17.56172712903226,-0.06743061612903249,0,2008,8,-0.23,Neutral
2008-09-01,17.61683436666667,-0.24328014444444443,0,2008,9,-0.24,Neutral
2008-10-01,17.02905187096774,-0.3765944225806451,0,2008,10,-0.35,Neutral
2008-11-01,16.06554905,-0.2348518827777779,0,2008,11,-0.55,La Niña
2008-12-01,14.630065048387097,-0.33110638817204274,0,2008,12,-0.73,La Niña
2009-01-01,13.72275577419355,-0.47963198494623627,0,2009,1,-0.85,La Niña
2009-02-01,13.420155178571429,-0.5911553065476192,0,2009,2,-0.79,La Niña
2009-03-01,13.459592403225807,-0.590831788172043,0,2009,3,-0.61,La Niña
2009-04-01,13.379939466666666,-0.8730940199999999,0,2009,4,-0.33,Neutral
2009-05-01,14.15105320967742,-0.6551428010752687,0,2009,5,0.01,Neutral
2009-06-01,16.370528533333335,0.8275135750000001,12,2009,6,0.28,Neutral
2009-07-01,16.593041967741936,-0.1551156870967739,0,2009,7,0.45,Neutral
2009-08-01,17.360764096774194,-0.26839364838709723,0,2009,8,0.58,El Niño
2009-09-01,18.000557333333333,0.14044282222222235,0,2009,9,0.71,El Niño
2009-10-01,17.00385477419355,-0.40179151935483853,0,2009,10,1.01,El Niño
2009-11-01,15.774015883333334,-0.5263850494444445,0,2009,11,1.36,El Niño
2009-12-01,14.426283693548386,-0.5348877430107526,0,2009,12,1.56,El Niño
2010-01-01,14.340966903225807,0.13857914408602173,0,2010,1,1.5,El Niño
2010-02-01,14.116884767857144,0.10557428273809524,0,2010,2,1.22,El Niño
2010-03-01,14.202961435483871,0.15253724408602162,0,2010,3,0.84,El Niño
2010-04-01,14.351193283333334,0.09815979666666673,0,2010,4,0.35,Neutral
2010-05-01,14.270691951612903,-0.535504059139785,0,2010,5,-0.17,Neutral
2010-06-01,14.83726585,-0.7057491083333333,0,2010,6,-0.66,La Niña
2010-07-01,16.09225648387097,-0.6559011709677417,0,2010,7,-1.05,La Niña
2010-08-01,16.41816593548387,-1.2109918096774195,0,2010,8,-1.35,La Niña
2010-09-01,16.62549286666667,-1.2346216444444444,0,2010,9,-1.56,La Niña
2010-10-01,16.774891806451613,-0.630754487096774,0,2010,10,-1.64,La Niña
